,id,station,date,prcp,tobs
0,2373,USC00519397,2016-09-01,0.0,81.0
1,2374,USC00519397,2016-09-02,0.0,80.0
2,2375,USC00519397,2016-09-03,0.0,79.0
3,2376,USC00519397,2016-09-04,0.03,75.0
4,2377,USC00519397,2016-09-05,,79.0
5,2378,USC00519397,2016-09-06,,76.0
6,2379,USC00519397,2016-09-07,0.05,76.0
7,2380,USC00519397,2016-09-08,0.0,80.0
8,2381,USC00519397,2016-09-09,0.03,79.0
9,2382,USC00519397,2016-09-10,0.0,78.0
10,2383,USC00519397,2016-09-11,0.05,76.0
11,2384,USC00519397,2016-09-12,0.0,78.0
12,2385,USC00519397,2016-09-13,0.02,78.0
13,2386,USC00519397,2016-09-14,1.32,75.0
14,2387,USC00519397,2016-09-15,0.42,79.0
15,2388,USC00519397,2016-09-16,0.06,80.0
16,2389,USC00519397,2016-09-17,0.05,79.0
17,2390,USC00519397,2016-09-18,0.0,81.0
18,2391,USC00519397,2016-09-19,0.0,77.0
19,2392,USC00519397,2016-09-20,0.0,77.0
20,2393,USC00519397,2016-09-21,0.0,78.0
21,2394,USC00519397,2016-09-22,0.02,76.0
22,2395,USC00519397,2016-09-23,0.0,82.0
23,2396,USC00519397,2016-09-24,0.0,81.0
24,2397,USC00519397,2016-09-25,0.0,78.0
25,2398,USC00519397,2016-09-26,0.06,80.0
26,2399,USC00519397,2016-09-27,0.02,80.0
27,2400,USC00519397,2016-09-28,0.0,79.0
28,2401,USC00519397,2016-09-29,0.0,80.0
29,2402,USC00519397,2016-09-30,0.0,80.0
30,2403,USC00519397,2016-10-01,0.0,80.0
31,2404,USC00519397,2016-10-02,0.0,79.0
32,2405,USC00519397,2016-10-03,0.0,79.0
33,2406,USC00519397,2016-10-04,0.0,79.0
34,2407,USC00519397,2016-10-05,0.0,80.0
35,2408,USC00519397,2016-10-06,0.0,80.0
36,2409,USC00519397,2016-10-07,0.0,79.0
37,2410,USC00519397,2016-10-08,0.0,78.0
38,2411,USC00519397,2016-10-09,0.0,76.0
39,2412,USC00519397,2016-10-10,0.0,75.0
40,2413,USC00519397,2016-10-11,0.0,80.0
41,2414,USC00519397,2016-10-12,0.0,80.0
42,2415,USC00519397,2016-10-13,0.0,79.0
43,2416,USC00519397,2016-10-14,0.0,80.0
44,2417,USC00519397,2016-10-15,0.0,79.0
45,2418,USC00519397,2016-10-16,0.0,78.0
46,2419,USC00519397,2016-10-17,0.01,78.0
47,2420,USC00519397,2016-10-18,0.0,80.0
48,2421,USC00519397,2016-10-19,0.0,81.0
49,2422,USC00519397,2016-10-20,0.0,79.0
50,2423,USC00519397,2016-10-21,0.05,77.0
51,2424,USC00519397,2016-10-22,0.15,79.0
52,2425,USC00519397,2016-10-23,0.01,78.0
53,2426,USC00519397,2016-10-24,0.0,77.0
54,2427,USC00519397,2016-10-25,0.03,77.0
55,2428,USC00519397,2016-10-26,0.0,78.0
56,2429,USC00519397,2016-10-27,0.0,77.0
57,2430,USC00519397,2016-10-28,0.0,78.0
58,2431,USC00519397,2016-10-29,0.0,77.0
59,2432,USC00519397,2016-10-30,0.24,76.0
60,2433,USC00519397,2016-10-31,0.03,77.0
61,2434,USC00519397,2016-11-01,0.0,77.0
62,2435,USC00519397,2016-11-02,0.0,77.0
63,2436,USC00519397,2016-11-03,0.0,77.0
64,2437,USC00519397,2016-11-04,0.0,77.0
65,2438,USC00519397,2016-11-05,0.0,76.0
66,2439,USC00519397,2016-11-06,0.0,75.0
67,2440,USC00519397,2016-11-07,0.0,71.0
68,2441,USC00519397,2016-11-08,0.07,71.0
69,2442,USC00519397,2016-11-09,0.0,71.0
70,2443,USC00519397,2016-11-10,0.0,71.0
71,2444,USC00519397,2016-11-11,0.0,72.0
72,2445,USC00519397,2016-11-12,0.0,71.0
73,2446,USC00519397,2016-11-13,0.0,72.0
74,2447,USC00519397,2016-11-14,0.0,77.0
75,2448,USC00519397,2016-11-15,0.0,77.0
76,2449,USC00519397,2016-11-16,0.0,77.0
77,2450,USC00519397,2016-11-17,0.0,77.0
78,2451,USC00519397,2016-11-18,0.0,77.0
79,2452,USC00519397,2016-11-19,0.03,75.0
80,2453,USC00519397,2016-11-20,0.05,76.0
81,2454,USC00519397,2016-11-21,0.01,76.0
82,2455,USC00519397,2016-11-22,0.13,75.0
83,2456,USC00519397,2016-11-23,0.14,72.0
84,2457,USC00519397,2016-11-24,0.05,74.0
85,2458,USC00519397,2016-11-25,0.05,75.0
86,2459,USC00519397,2016-11-26,0.05,73.0
87,2460,USC00519397,2016-11-27,0.0,76.0
88,2461,USC00519397,2016-11-28,0.01,75.0
89,2462,USC00519397,2016-11-29,0.0,68.0
90,2463,USC00519397,2016-11-30,0.14,75.0
91,2464,USC00519397,2016-12-01,0.12,75.0
92,2465,USC00519397,2016-12-02,0.03,72.0
93,2466,USC00519397,2016-12-03,0.0,69.0
94,2467,USC00519397,2016-12-04,0.03,71.0
95,2468,USC00519397,2016-12-05,0.43,68.0
96,2469,USC00519397,2016-12-06,0.02,67.0
97,2470,USC00519397,2016-12-07,0.0,69.0
98,2471,USC00519397,2016-12-08,0.03,73.0
99,2472,USC00519397,2016-12-09,0.52,70.0
100,2473,USC00519397,2016-12-10,0.05,70.0
101,2474,USC00519397,2016-12-11,0.04,70.0
102,2475,USC00519397,2016-12-12,0.01,66.0
103,2476,USC00519397,2016-12-13,0.05,67.0
104,2477,USC00519397,2016-12-14,0.03,70.0
105,2478,USC00519397,2016-12-15,0.0,66.0
106,2479,USC00519397,2016-12-16,0.0,62.0
107,2480,USC00519397,2016-12-17,0.01,71.0
108,2481,USC00519397,2016-12-18,0.13,73.0
109,2482,USC00519397,2016-12-19,0.01,69.0
110,2483,USC00519397,2016-12-20,0.0,77.0
111,2484,USC00519397,2016-12-21,0.0,74.0
112,2485,USC00519397,2016-12-22,0.01,71.0
113,2486,USC00519397,2016-12-23,0.01,72.0
114,2487,USC00519397,2016-12-24,0.01,74.0
115,2488,USC00519397,2016-12-25,0.0,74.0
116,2489,USC00519397,2016-12-26,0.02,74.0
117,2490,USC00519397,2016-12-27,0.0,74.0
118,2491,USC00519397,2016-12-28,0.02,71.0
119,2492,USC00519397,2016-12-29,0.04,73.0
120,2493,USC00519397,2016-12-30,0.12,69.0
121,2494,USC00519397,2016-12-31,0.01,66.0
122,2495,USC00519397,2017-01-01,0.0,62.0
123,2496,USC00519397,2017-01-02,0.0,66.0
124,2497,USC00519397,2017-01-03,0.0,63.0
125,2498,USC00519397,2017-01-04,0.0,62.0
126,2499,USC00519397,2017-01-05,0.0,63.0
127,2500,USC00519397,2017-01-06,0.0,64.0
128,2501,USC00519397,2017-01-07,0.0,66.0
129,2502,USC00519397,2017-01-08,0.0,60.0
130,2503,USC00519397,2017-01-09,0.0,64.0
131,2504,USC00519397,2017-01-10,0.0,63.0
132,2505,USC00519397,2017-01-11,0.0,78.0
133,2506,USC00519397,2017-01-12,0.0,67.0
134,2507,USC00519397,2017-01-13,0.0,67.0
135,2508,USC00519397,2017-01-14,0.0,65.0
136,2509,USC00519397,2017-01-15,0.0,66.0
137,2510,USC00519397,2017-01-16,0.0,67.0
138,2511,USC00519397,2017-01-17,0.0,66.0
139,2512,USC00519397,2017-01-18,0.0,72.0
140,2513,USC00519397,2017-01-19,0.0,73.0
141,2514,USC00519397,2017-01-20,0.0,71.0
142,2515,USC00519397,2017-01-21,0.0,72.0
143,2516,USC00519397,2017-01-22,0.16,72.0
144,2517,USC00519397,2017-01-23,0.0,72.0
145,2518,USC00519397,2017-01-24,0.04,69.0
146,2519,USC00519397,2017-01-25,0.03,72.0
147,2520,USC00519397,2017-01-26,0.0,71.0
148,2521,USC00519397,2017-01-27,0.0,65.0
149,2522,USC00519397,2017-01-28,0.0,64.0
150,2523,USC00519397,2017-01-29,0.18,67.0
151,2524,USC00519397,2017-01-30,0.0,67.0
152,2525,USC00519397,2017-01-31,0.0,68.0
153,2526,USC00519397,2017-02-01,0.0,70.0
154,2527,USC00519397,2017-02-02,0.0,61.0
155,2528,USC00519397,2017-02-03,0.0,65.0
156,2529,USC00519397,2017-02-04,0.0,72.0
157,2530,USC00519397,2017-02-05,0.0,73.0
158,2531,USC00519397,2017-02-06,0.0,76.0
159,2532,USC00519397,2017-02-07,0.51,64.0
160,2533,USC00519397,2017-02-08,0.0,62.0
161,2534,USC00519397,2017-02-09,0.0,61.0
162,2535,USC00519397,2017-02-10,0.0,71.0
163,2536,USC00519397,2017-02-11,0.31,69.0
164,2537,USC00519397,2017-02-12,2.62,68.0
165,2538,USC00519397,2017-02-13,0.01,74.0
166,2539,USC00519397,2017-02-14,0.0,75.0
167,2540,USC00519397,2017-02-15,0.0,75.0
168,2541,USC00519397,2017-02-16,0.07,71.0
169,2542,USC00519397,2017-02-17,0.0,71.0
170,2543,USC00519397,2017-02-18,0.0,68.0
171,2544,USC00519397,2017-02-19,0.0,69.0
172,2545,USC00519397,2017-02-20,0.0,71.0
173,2546,USC00519397,2017-02-21,0.06,70.0
174,2547,USC00519397,2017-02-22,0.06,72.0
175,2548,USC00519397,2017-02-23,0.01,74.0
176,2549,USC00519397,2017-02-24,0.0,70.0
177,2550,USC00519397,2017-02-25,0.03,64.0
178,2551,USC00519397,2017-02-26,0.0,65.0
179,2552,USC00519397,2017-02-27,0.0,72.0
180,2553,USC00519397,2017-02-28,0.0,74.0
181,2554,USC00519397,2017-03-01,1.19,66.0
182,2555,USC00519397,2017-03-02,0.73,73.0
183,2556,USC00519397,2017-03-03,0.47,69.0
184,2557,USC00519397,2017-03-04,0.0,74.0
185,2558,USC00519397,2017-03-05,0.35,71.0
186,2559,USC00519397,2017-03-06,0.0,69.0
187,2560,USC00519397,2017-03-07,0.0,68.0
188,2561,USC00519397,2017-03-08,0.0,71.0
189,2562,USC00519397,2017-03-09,0.0,72.0
190,2563,USC00519397,2017-03-10,0.0,68.0
191,2564,USC00519397,2017-03-11,0.0,71.0
192,2565,USC00519397,2017-03-12,0.0,74.0
193,2566,USC00519397,2017-03-13,0.0,71.0
194,2567,USC00519397,2017-03-14,0.0,71.0
195,2568,USC00519397,2017-03-15,0.0,71.0
196,2569,USC00519397,2017-03-16,0.0,70.0
197,2570,USC00519397,2017-03-17,0.0,72.0
198,2571,USC00519397,2017-03-18,0.0,69.0
199,2572,USC00519397,2017-03-19,0.0,73.0
200,2573,USC00519397,2017-03-20,0.0,75.0
201,2574,USC00519397,2017-03-21,0.0,75.0
202,2575,USC00519397,2017-03-22,0.0,74.0
203,2576,USC00519397,2017-03-23,0.0,70.0
204,2577,USC00519397,2017-03-24,0.02,73.0
205,2578,USC00519397,2017-03-25,0.0,76.0
206,2579,USC00519397,2017-03-26,0.0,76.0
207,2580,USC00519397,2017-03-27,0.0,75.0
208,2581,USC00519397,2017-03-28,0.0,77.0
209,2582,USC00519397,2017-03-29,0.0,76.0
210,2583,USC00519397,2017-03-30,0.0,77.0
211,2584,USC00519397,2017-03-31,0.0,76.0
212,2585,USC00519397,2017-04-01,0.0,76.0
213,2586,USC00519397,2017-04-02,0.0,76.0
214,2587,USC00519397,2017-04-03,0.0,77.0
215,2588,USC00519397,2017-04-04,0.0,76.0
216,2589,USC00519397,2017-04-05,0.0,78.0
217,2590,USC00519397,2017-04-06,0.0,77.0
218,2591,USC00519397,2017-04-07,0.0,77.0
